DateFormat,Open,High,Low,Close,Volume,Adj Close,Diff
8/1/2011,1292.589966,1307.380005,1274.72998,1286.939941,4967390000,1286.939941,-5.650025
8/2/2011,1286.560059,1286.560059,1254.030029,1254.050049,5206290000,1254.050049,-32.51001
8/3/2011,1254.25,1261.199951,1234.560059,1260.339966,6446940000,1260.339966,6.089966
8/4/2011,1260.22998,1260.22998,1199.540039,1200.069946,4266530000,1200.069946,-60.160034
8/5/2011,1200.280029,1218.109985,1168.089966,1199.380005,5454590000,1199.380005,-0.900024
8/8/2011,1198.47998,1198.47998,1119.280029,1119.459961,2615150000,1119.459961,-79.020019
8/9/2011,1120.22998,1172.880005,1101.540039,1172.530029,2366660000,1172.530029,52.300049
8/10/2011,1171.77002,1171.77002,1118.01001,1120.76001,5018070000,1120.76001,-51.01001
8/11/2011,1121.300049,1186.290039,1121.300049,1172.640015,3685050000,1172.640015,51.339966
8/12/2011,1172.869995,1189.040039,1170.73999,1178.810059,5640380000,1178.810059,5.940064
8/15/2011,1178.859985,1204.48999,1178.859985,1204.48999,4272850000,1204.48999,25.630005
8/16/2011,1204.219971,1204.219971,1180.530029,1192.76001,5071600000,1192.76001,-11.459961
8/17/2011,1192.890015,1208.469971,1184.359985,1193.890015,4388340000,1193.890015,1
8/18/2011,1189.619995,1189.619995,1131.030029,1140.650024,3234810000,1140.650024,-48.969971
8/19/2011,1140.469971,1154.540039,1122.050049,1123.530029,5167560000,1123.530029,-16.939942
8/22/2011,1123.550049,1145.48999,1121.089966,1123.819946,5436260000,1123.819946,0.269897
8/23/2011,1124.359985,1162.349976,1124.359985,1162.349976,5013170000,1162.349976,37.989991
8/24/2011,1162.160034,1178.560059,1156.300049,1177.599976,5315310000,1177.599976,15.439942
8/25/2011,1176.689941,1190.680054,1155.469971,1159.27002,5748420000,1159.27002,-17.419921
8/26/2011,1158.849976,1181.22998,1135.910034,1176.800049,5035320000,1176.800049,17.950073
8/29/2011,1177.910034,1210.280029,1177.910034,1210.079956,4228070000,1210.079956,32.169922
8/30/2011,1209.76001,1220.099976,1195.77002,1212.920044,4572570000,1212.920044,3.160034
8/31/2011,1213,1230.709961,1209.349976,1218.890015,5267840000,1218.890015,5.890015
9/1/2011,1219.119995,1229.290039,1203.849976,1204.420044,4780410000,1204.420044,-14.699951
9/2/2011,1203.900024,1203.900024,1170.560059,1173.969971,4401740000,1173.969971,-29.930053
9/6/2011,1173.969971,1173.969971,1140.130005,1165.23999,5103980000,1165.23999,-8.729981
9/7/2011,1165.849976,1198.619995,1165.849976,1198.619995,4441040000,1198.619995,32.770019
9/8/2011,1197.97998,1204.400024,1183.339966,1185.900024,4465170000,1185.900024,-12.079956
9/9/2011,1185.369995,1185.369995,1148.369995,1154.22998,4586370000,1154.22998,-31.140015
9/12/2011,1153.5,1162.52002,1136.069946,1162.27002,5168550000,1162.27002,8.77002
9/13/2011,1162.589966,1176.410034,1157.439941,1172.869995,4681370000,1172.869995,10.280029
9/14/2011,1173.319946,1202.380005,1162.72998,1188.680054,4986740000,1188.680054,15.360108
9/15/2011,1189.439941,1209.109985,1189.439941,1209.109985,4479730000,1209.109985,19.670044
9/16/2011,1209.209961,1220.060059,1204.459961,1216.01001,5248890000,1216.01001,6.800049
9/19/2011,1214.98999,1214.98999,1188.359985,1204.089966,4254190000,1204.089966,-10.900024
9/20/2011,1204.5,1220.390015,1201.290039,1202.089966,4315610000,1202.089966,-2.410034
9/21/2011,1203.630005,1206.300049,1166.209961,1166.76001,4728550000,1166.76001,-36.869995
9/22/2011,1164.550049,1164.550049,1114.219971,1129.560059,6703140000,1129.560059,-34.98999
9/23/2011,1128.819946,1141.719971,1121.359985,1136.430054,5639930000,1136.430054,7.610108
9/26/2011,1136.910034,1164.189941,1131.069946,1162.949951,4762830000,1162.949951,26.039917
9/27/2011,1163.319946,1195.859985,1163.319946,1175.380005,5548130000,1175.380005,12.060059
9/28/2011,1175.390015,1184.709961,1150.400024,1151.060059,4787920000,1151.060059,-24.329956
9/29/2011,1151.73999,1175.869995,1139.930054,1160.400024,5285740000,1160.400024,8.660034
9/30/2011,1159.930054,1159.930054,1131.339966,1131.420044,4416790000,1131.420044,-28.51001
10/3/2011,1131.209961,1138.98999,1098.920044,1099.22998,5670340000,1099.22998,-31.979981
10/4/2011,1097.420044,1125.119995,1074.77002,1123.949951,3714670000,1123.949951,26.529907
10/5/2011,1124.030029,1146.069946,1115.680054,1144.030029,2510620000,1144.030029,20
10/6/2011,1144.109985,1165.550049,1134.949951,1164.969971,5098330000,1164.969971,20.859986
10/7/2011,1165.030029,1171.400024,1150.26001,1155.459961,5580380000,1155.459961,-9.570068
10/10/2011,1158.150024,1194.910034,1158.150024,1194.890015,4446800000,1194.890015,36.739991
10/11/2011,1194.599976,1199.23999,1187.300049,1195.540039,4424500000,1195.540039,0.940063
10/12/2011,1196.189941,1220.25,1196.189941,1207.25,5355360000,1207.25,11.060059
10/13/2011,1206.959961,1207.459961,1190.579956,1203.660034,4436270000,1203.660034,-3.299927
10/14/2011,1205.650024,1224.609985,1205.650024,1224.579956,4116690000,1224.579956,18.929932
10/17/2011,1224.469971,1224.469971,1198.550049,1200.859985,4300700000,1200.859985,-23.609986
10/18/2011,1200.75,1233.099976,1191.47998,1225.380005,4840170000,1225.380005,24.630005
10/19/2011,1223.459961,1229.640015,1206.310059,1209.880005,4846390000,1209.880005,-13.579956
10/20/2011,1209.920044,1219.530029,1197.339966,1215.390015,4870290000,1215.390015,5.469971
10/21/2011,1215.390015,1239.030029,1215.390015,1238.25,4980770000,1238.25,22.859985
10/24/2011,1238.719971,1256.550049,1238.719971,1254.189941,4309380000,1254.189941,15.46997
10/25/2011,1254.189941,1254.189941,1226.790039,1229.050049,4473970000,1229.050049,-25.139892
10/26/2011,1229.170044,1246.280029,1221.060059,1242,4873530000,1242,12.829956
10/27/2011,1243.969971,1292.660034,1243.969971,1284.589966,6367610000,1284.589966,40.619995
10/28/2011,1284.390015,1287.079956,1277.01001,1285.089966,4536690000,1285.089966,0.699951
10/31/2011,1284.959961,1284.959961,1253.160034,1253.300049,4310210000,1253.300049,-31.659912
11/1/2011,1251,1251,1215.420044,1218.280029,5645540000,1218.280029,-32.719971
11/2/2011,1219.619995,1242.47998,1219.619995,1237.900024,4110530000,1237.900024,18.280029
11/3/2011,1238.25,1263.209961,1234.810059,1261.150024,4849140000,1261.150024,22.900024
11/4/2011,1260.819946,1260.819946,1238.920044,1253.22998,3830650000,1253.22998,-7.589966
11/7/2011,1253.209961,1261.699951,1240.75,1261.119995,3429740000,1261.119995,7.910034
11/8/2011,1261.119995,1277.550049,1254.98999,1275.920044,3908490000,1275.920044,14.800049
11/9/2011,1275.180054,1275.180054,1226.640015,1229.099976,4659740000,1229.099976,-46.080078
11/10/2011,1229.589966,1246.219971,1227.699951,1239.699951,4002760000,1239.699951,10.109985
11/11/2011,1240.119995,1266.97998,1240.119995,1263.849976,3370180000,1263.849976,23.729981
11/14/2011,1263.849976,1263.849976,1246.680054,1251.780029,3219680000,1251.780029,-12.069947
11/15/2011,1251.699951,1264.25,1244.339966,1257.810059,3599300000,1257.810059,6.110108
11/16/2011,1257.810059,1259.609985,1235.670044,1236.910034,4085010000,1236.910034,-20.900025
11/17/2011,1236.560059,1237.72998,1209.430054,1216.130005,4596450000,1216.130005,-20.430054
11/18/2011,1216.189941,1223.51001,1211.359985,1215.650024,3827610000,1215.650024,-0.539917
11/21/2011,1215.619995,1215.619995,1183.160034,1192.97998,4050070000,1192.97998,-22.640015
11/22/2011,1192.97998,1196.810059,1181.650024,1188.040039,3911710000,1188.040039,-4.939941
11/23/2011,1187.47998,1187.47998,1161.790039,1161.790039,3798940000,1161.790039,-25.689941
11/25/2011,1161.410034,1172.660034,1158.660034,1158.670044,1664200000,1158.670044,-2.73999
11/28/2011,1158.670044,1197.349976,1158.670044,1192.550049,3920750000,1192.550049,33.880005
11/29/2011,1192.560059,1203.670044,1191.800049,1195.189941,3992650000,1195.189941,2.629882
11/30/2011,1196.719971,1247.109985,1196.719971,1246.959961,5801910000,1246.959961,50.23999
12/1/2011,1246.910034,1251.089966,1239.72998,1244.579956,3818680000,1244.579956,-2.330078
12/2/2011,1246.030029,1260.079956,1243.349976,1244.280029,4144310000,1244.280029,-1.75
12/5/2011,1244.329956,1266.72998,1244.329956,1257.079956,4148060000,1257.079956,12.75
12/6/2011,1257.189941,1266.030029,1253.030029,1258.469971,3734230000,1258.469971,1.28003
12/7/2011,1258.140015,1267.060059,1244.800049,1261.01001,4160540000,1261.01001,2.869995
12/8/2011,1260.869995,1260.869995,1231.469971,1234.349976,4298370000,1234.349976,-26.520019
12/9/2011,1234.47998,1258.25,1234.47998,1255.189941,3830610000,1255.189941,20.709961
12/12/2011,1255.050049,1255.050049,1227.25,1236.469971,3600570000,1236.469971,-18.580078
12/13/2011,1236.829956,1249.859985,1219.430054,1225.72998,4121570000,1225.72998,-11.099976
12/14/2011,1225.72998,1225.72998,1209.469971,1211.819946,4298290000,1211.819946,-13.910034
12/15/2011,1212.119995,1225.599976,1212.119995,1215.75,3810340000,1215.75,3.630005
12/16/2011,1216.089966,1231.040039,1215.199951,1219.660034,5345800000,1219.660034,3.570068
12/19/2011,1219.73999,1224.569946,1202.369995,1205.349976,3659820000,1205.349976,-14.390014
